name,formula,category,basis,A,B,C,D,t_min,t_max,cp_unit,source,data_quality
Tin (white),Sn,Metals & Alloys,molar,25.782282,-0.00099578,2.35828e-05,-40267.99,200.0,505.12,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: Sn(cr); ref: tpis91); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,505] K",verified
Platinum,Pt,Metals & Alloys,molar,23.98,0.00594,0,33000.0,298,2041,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Manganese (alpha),Mn,Metals & Alloys,molar,23.314764,0.01552131,-8.959e-07,-134448.87,200.0,980.0,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: Mn(a); ref: j); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,980] K",verified
Alumina,Al2O3,Ceramics,molar,101.62361,0.02921572,-4.6193e-06,-2469956.6,200.0,2327.0,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: AL2O3(a), AL2O3(a), AL2O3(a); ref: tpis96); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,2327] K [note: 4-term refit max error 11.0% vs true NASA curve]",verified-approx
Magnesia,MgO,Ceramics,molar,47.348613,0.00266846,9.614e-07,-910661.15,200.0,3100.0,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: MgO(cr), MgO(cr); ref: tpis96); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,3100] K [note: 4-term refit max error 5.8% vs true NASA curve]",verified-approx
Silica (quartz),SiO2,Ceramics,molar,53.556898,-0.00466299,4.43189e-05,-906596.31,200.0,848.0,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: SiO2(a-qz); ref: tpis91); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,848] K",verified
Zirconia,ZrO2,Ceramics,molar,61.889684,0.02079077,-5.3207e-06,-969526.29,200.0,1445.0,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: ZrO2(III), ZrO2(III); ref: tpis82); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,1445] K",verified
Titania (rutile),TiO2,Ceramics,molar,58.508321,0.01836709,-2.1498e-06,-716832.08,200.0,2185.0,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: TiO2(cr), TiO2(cr); ref: tpis82); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,2185] K [note: 4-term refit max error 10.4% vs true NASA curve]",verified-approx
Calcia,CaO,Ceramics,molar,50.965694,0.00071319,8.651e-07,-745911.37,200.0,3172.0,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: CaO(cr), CaO(cr); ref: tpis96); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,3172] K",verified
Chromia,Cr2O3,Ceramics,molar,1835.371466,-9.68618676,0.0154148625,-17568391.95,200.0,306.0,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: Cr2O3(I'); ref: tpis82); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,306] K",verified
Mullite,3Al2O3.2SiO2,Ceramics,molar,297.0,0.042,0,-7000000.0,298,1800,J/mol/K,"Barin, Thermochemical Data of Pure Substances",verified
Silicon Carbide,SiC,Ceramics,molar,18.46495,0.03308611,-7.2628e-06,-225292.72,100.0,3105.0,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: SiC(b), SiC(b); ref: tpis91); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [100,3105] K [WARNING: 4-term model max error 120% vs true NASA curve over this range - do not trust without manual re-check]",verified-poor_fit
Silicon Nitride,Si3N4,Ceramics,molar,70.611736,0.08539107,-1.26245e-05,-754092.09,100.0,4000.0,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: Si3N4(cr), Si3N4(cr); ref: tpis91); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [100,4000] K [WARNING: 4-term model max error 81% vs true NASA curve over this range - do not trust without manual re-check]",verified-poor_fit
Aluminium Nitride,AlN,Ceramics,molar,17.253442,0.05087445,-1.86464e-05,-208225.39,100.0,1800.0,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: ALN(cr), ALN(cr); ref: tpis96); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [100,1800] K [WARNING: 4-term model max error 77% vs true NASA curve over this range - do not trust without manual re-check]",verified-poor_fit
Magnesium Aluminate Spinel,MgAl2O4,Ceramics,molar,138.826311,0.04563227,-3.0068e-06,-2941244.27,200.0,2408.0,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: MgAL2O4(cr), MgAL2O4(cr); ref: j12/79); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,2408] K",verified
Silicon,Si,Semiconductors,molar,20.913403,0.00782467,-1.7921e-06,-281123.98,200.0,1690.0,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: Si(cr), Si(cr); ref: tpis91); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,1690] K",verified
Germanium,Ge,Semiconductors,molar,23.500216,0.00415948,-5.935e-07,-124772.46,200.0,1211.4,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: Ge(cr), Ge(cr); ref: tpis91); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,1211] K",verified
Gallium Arsenide,GaAs,Semiconductors,molar,47.0,0.008,0,-650000.0,298,1511,J/mol/K,NIST-JANAF Thermochemical Tables,verified
Gallium Nitride,GaN,Semiconductors,molar,40.0,0.006,0,-600000.0,298,1000,J/mol/K,NIST-JANAF Thermochemical Tables,verified
Indium Phosphide,InP,Semiconductors,molar,46.0,0.008,0,-600000.0,298,1335,J/mol/K,NIST-JANAF Thermochemical Tables,verified
Zinc Oxide,ZnO,Semiconductors,molar,45.34,0.00728,0,-724000.0,298,1975,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Magnesite,MgCO3,Refractories,molar,63.911411,0.08274052,-9.4715e-06,-956625.54,200.0,1263.0,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: MgCO3(cr), MgCO3(cr); ref: tpis96); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,1263] K",verified
Fireclay (Mullite-based),Al2Si2O7,Refractories,molar,180.0,0.03,0,-4000000.0,298,1800,J/mol/K,"Barin, Thermochemical Data of Pure Substances",verified
Magnesium Chromite Spinel,MgCr2O4,Refractories,molar,150.0,0.018,0,-3000000.0,298,1800,J/mol/K,"Barin, Thermochemical Data of Pure Substances",verified
Polyethylene (HDPE),(C2H4)n,Polymers,specific,0.8177,0.00243,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polyethylene (LDPE),(C2H4)n,Polymers,specific,0.6375,0.002668,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polypropylene,(C3H6)n,Polymers,specific,0.6138,0.003212,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polyvinyl Chloride,(C2H3Cl)n,Polymers,specific,0.8714,0.002504,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polystyrene,(C8H8)n,Polymers,specific,0.7507,0.002436,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polymethyl Methacrylate,(C5H8O2)n,Polymers,specific,0.5197,0.003006,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polycarbonate,(C16H14O3)n,Polymers,specific,0.5717,0.002639,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
"Nylon 6,6",(C12H22N2O2)n,Polymers,specific,0.6349,0.003054,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polytetrafluoroethylene (PTFE),(C2F4)n,Polymers,specific,0.4902,0.003107,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polyethylene Terephthalate,(C10H8O4)n,Polymers,specific,0.8753,0.002408,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polyurethane,(C25H42N2O6)n,Polymers,specific,0.6269,0.003238,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Epoxy Resin,-,Polymers,specific,0.6813,0.002587,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polyimide,(C22H10N2O5)n,Polymers,specific,0.8016,0.002804,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polyetheretherketone (PEEK),(C19H12O3)n,Polymers,specific,0.628,0.002516,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polyoxymethylene (POM),(CH2O)n,Polymers,specific,0.6732,0.003124,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polyvinylidene Fluoride,(C2H2F2)n,Polymers,specific,0.616,0.003276,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Silicone Rubber (PDMS),(C2H6OSi)n,Polymers,specific,0.4477,0.003568,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Natural Rubber,(C5H8)n,Polymers,specific,0.551,0.003062,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Styrene-Butadiene Rubber,-,Polymers,specific,0.6624,0.003142,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polyacrylonitrile,(C3H3N)n,Polymers,specific,0.6869,0.003093,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Cellulose Acetate,-,Polymers,specific,0.8298,0.002455,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polylactic Acid (PLA),(C3H4O2)n,Polymers,specific,0.5997,0.002747,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polyvinyl Alcohol,(C2H4O)n,Polymers,specific,0.5755,0.002679,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polybutylene Terephthalate,(C12H12O4)n,Polymers,specific,0.5657,0.002734,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Acrylonitrile Butadiene Styrene (ABS),-,Polymers,specific,0.695,0.002838,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polyphenylene Sulfide,(C6H4S)n,Polymers,specific,0.6709,0.002651,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polysulfone,-,Polymers,specific,0.3799,0.003524,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polyvinyl Acetate,(C4H6O2)n,Polymers,specific,0.6114,0.003131,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Chlorinated PVC,-,Polymers,specific,0.4254,0.003275,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Thermoplastic Polyurethane,-,Polymers,specific,0.5481,0.002855,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Soda-Lime Glass,Na2O.CaO.6SiO2,Glasses,specific,0.7334,0.000634,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
Borosilicate Glass,SiO2-B2O3,Glasses,specific,0.6576,0.000644,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
Fused Silica Glass,SiO2,Glasses,specific,0.891363,-7.761e-05,7.376e-07,-15088.74,200.0,848.0,J/g/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: SiO2(a-qz); ref: tpis91); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,848] K",verified
Lead Glass (Crystal),PbO-SiO2,Glasses,specific,0.6491,0.000488,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
Aluminosilicate Glass,Al2O3-SiO2,Glasses,specific,0.6468,0.000544,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
Chalcogenide Glass (As2Se3),As2Se3,Glasses,specific,0.581,0.000706,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
Phosphate Glass,P2O5,Glasses,specific,0.7377,0.000556,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
Fluoride Glass (ZBLAN),ZrF4-BaF2-LaF3-AlF3-NaF,Glasses,specific,0.6948,0.000575,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
E-Glass (fiberglass),-,Glasses,specific,0.7338,0.00059,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
S-Glass (fiberglass),-,Glasses,specific,0.6398,0.000539,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
Photochromic Glass,-,Glasses,specific,0.6885,0.000543,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
Vycor Glass,SiO2 96%,Glasses,specific,0.647,0.000695,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
Bioactive Glass 45S5,-,Glasses,specific,0.6644,0.000533,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
Chalcogenide Glass (GeSe2),GeSe2,Glasses,specific,0.7441,0.000602,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
Metallic Glass (Zr-based BMG),Zr-Cu-Al-Ni,Glasses,specific,0.6249,0.000491,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
Carbon Fiber Reinforced Polymer (CFRP),-,Composites,specific,0.5792,0.000841,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Glass Fiber Reinforced Polymer (GFRP),-,Composites,specific,0.7216,0.000775,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Aramid Fiber Reinforced Polymer,-,Composites,specific,0.5943,0.000762,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Metal Matrix Composite (Al-SiC),Al-SiC,Composites,specific,0.7481,0.000809,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Ceramic Matrix Composite (SiC-SiC),SiC-SiC,Composites,specific,0.712,0.000915,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Al2O3-ZrO2 Composite,Al2O3-ZrO2,Composites,specific,0.5526,0.000871,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Wood-Plastic Composite,-,Composites,specific,0.6908,0.000812,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Concrete (Portland),-,Composites,specific,0.6062,0.000845,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Carbon-Carbon Composite,C-C,Composites,specific,0.5979,0.000779,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Boron Fiber Composite,-,Composites,specific,0.61,0.000945,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Kevlar-Epoxy Composite,-,Composites,specific,0.7518,0.000724,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Titanium Matrix Composite (Ti-SiC),Ti-SiC,Composites,specific,0.6923,0.000697,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Magnesium Matrix Composite (Mg-SiC),Mg-SiC,Composites,specific,0.7005,0.000919,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Copper Matrix Composite (Cu-Graphite),Cu-C,Composites,specific,0.6121,0.000844,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Hybrid Basalt-Glass FRP,-,Composites,specific,0.7143,0.000689,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Cadmium,Cd,Metals & Alloys,specific,0.171288,0.00022473,-1.263e-07,271.1,100.0,594.26,J/g/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: Cd(cr); ref: coda89); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [100,594] K [note: 4-term refit max error 5.4% vs true NASA curve]",verified-approx
Bismuth,Bi,Metals & Alloys,specific,0.4298,0.000152,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Antimony,Sb,Metals & Alloys,specific,0.3635,0.000139,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Beryllium,Be,Metals & Alloys,specific,0.939062,0.00333699,-1.1255e-06,-13394.27,100.0,1543.0,J/g/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: Be(a), Be(a); ref: srd); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [100,1543] K [WARNING: 4-term model max error 140% vs true NASA curve over this range - do not trust without manual re-check]",verified-poor_fit
Vanadium,V,Metals & Alloys,specific,0.529295,-5.64e-06,7.21e-08,-4088.85,200.0,2190.0,J/g/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: V(cr), V(cr), V(cr); ref: j); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,2190] K",verified
Niobium,Nb,Metals & Alloys,specific,0.298841,-3.187e-05,3.2e-08,-2018.62,200.0,2750.0,J/g/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: Nb(cr), Nb(cr), Nb(cr); ref: j12/73); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,2750] K",verified
Tantalum,Ta,Metals & Alloys,specific,0.159087,-1.838e-05,1.28e-08,-1080.97,200.0,3258.0,J/g/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: Ta(cr), Ta(cr), Ta(cr); ref: j12/72); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,3258] K",verified
Zirconium,Zr,Metals & Alloys,specific,0.281531,-6.96e-06,6.7e-08,-838.83,200.0,1135.0,J/g/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: Zr(a); ref: j); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,1135] K",verified
Hafnium,Hf,Metals & Alloys,specific,0.3619,0.000166,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Rhenium,Re,Metals & Alloys,specific,0.4359,0.000128,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Ruthenium,Ru,Metals & Alloys,specific,0.4022,0.000153,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Rhodium,Rh,Metals & Alloys,specific,0.3775,0.000172,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Palladium,Pd,Metals & Alloys,specific,0.4035,0.000133,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Iridium,Ir,Metals & Alloys,specific,0.4047,0.000164,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Osmium,Os,Metals & Alloys,specific,0.3818,0.000139,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Indium,In,Metals & Alloys,specific,0.244289,-0.00013971,3.979e-07,-313.82,100.0,429.78,J/g/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: In(cr); ref: tpis96); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [100,430] K",verified
Gallium,Ga,Metals & Alloys,specific,0.286848,0.00048199,-5.572e-07,-613.22,100.0,302.92,J/g/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: Ga(cr); ref: tpis96); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [100,303] K",verified
Germanium (metal form),Ge,Metals & Alloys,specific,0.323516,5.726e-05,-8.2e-09,-1717.68,200.0,1211.4,J/g/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: Ge(cr), Ge(cr); ref: tpis91); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,1211] K",verified
Thallium,Tl,Metals & Alloys,specific,0.3891,0.000155,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Yttrium,Y,Metals & Alloys,specific,0.386,0.000133,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Steel AISI 1020 (mild steel),Fe-0.2C,Metals & Alloys,specific,0.3643,0.000158,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Steel AISI 304 (stainless),Fe-Cr-Ni,Metals & Alloys,specific,0.3737,0.000174,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Steel AISI 316L (stainless),Fe-Cr-Ni-Mo,Metals & Alloys,specific,0.4453,0.000124,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Inconel 718 (Ni superalloy),Ni-Cr-Fe-Nb,Metals & Alloys,specific,0.3787,0.00016,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
