name,formula,category,basis,A,B,C,D,t_min,t_max,cp_unit,source,data_quality
Polyethylene (LDPE),(C2H4)n,Polymers,specific,0.6375,0.002668,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polypropylene,(C3H6)n,Polymers,specific,0.6138,0.003212,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polyvinyl Chloride,(C2H3Cl)n,Polymers,specific,0.8714,0.002504,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polystyrene,(C8H8)n,Polymers,specific,0.7507,0.002436,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polymethyl Methacrylate,(C5H8O2)n,Polymers,specific,0.5197,0.003006,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polycarbonate,(C16H14O3)n,Polymers,specific,0.5717,0.002639,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
"Nylon 6,6",(C12H22N2O2)n,Polymers,specific,0.6349,0.003054,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polytetrafluoroethylene (PTFE),(C2F4)n,Polymers,specific,0.4902,0.003107,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polyethylene Terephthalate,(C10H8O4)n,Polymers,specific,0.8753,0.002408,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polyurethane,(C25H42N2O6)n,Polymers,specific,0.6269,0.003238,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Epoxy Resin,-,Polymers,specific,0.6813,0.002587,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polyimide,(C22H10N2O5)n,Polymers,specific,0.8016,0.002804,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polyetheretherketone (PEEK),(C19H12O3)n,Polymers,specific,0.628,0.002516,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polyoxymethylene (POM),(CH2O)n,Polymers,specific,0.6732,0.003124,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polyvinylidene Fluoride,(C2H2F2)n,Polymers,specific,0.616,0.003276,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Silicone Rubber (PDMS),(C2H6OSi)n,Polymers,specific,0.4477,0.003568,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Natural Rubber,(C5H8)n,Polymers,specific,0.551,0.003062,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Styrene-Butadiene Rubber,-,Polymers,specific,0.6624,0.003142,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polyacrylonitrile,(C3H3N)n,Polymers,specific,0.6869,0.003093,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Cellulose Acetate,-,Polymers,specific,0.8298,0.002455,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polylactic Acid (PLA),(C3H4O2)n,Polymers,specific,0.5997,0.002747,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polyvinyl Alcohol,(C2H4O)n,Polymers,specific,0.5755,0.002679,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polybutylene Terephthalate,(C12H12O4)n,Polymers,specific,0.5657,0.002734,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Acrylonitrile Butadiene Styrene (ABS),-,Polymers,specific,0.695,0.002838,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polyphenylene Sulfide,(C6H4S)n,Polymers,specific,0.6709,0.002651,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polysulfone,-,Polymers,specific,0.3799,0.003524,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Polyvinyl Acetate,(C4H6O2)n,Polymers,specific,0.6114,0.003131,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Chlorinated PVC,-,Polymers,specific,0.4254,0.003275,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Thermoplastic Polyurethane,-,Polymers,specific,0.5481,0.002855,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
Soda-Lime Glass,Na2O.CaO.6SiO2,Glasses,specific,0.7334,0.000634,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
Borosilicate Glass,SiO2-B2O3,Glasses,specific,0.6576,0.000644,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
Fused Silica Glass,SiO2,Glasses,specific,0.6991,0.000666,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
Lead Glass (Crystal),PbO-SiO2,Glasses,specific,0.6491,0.000488,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
Aluminosilicate Glass,Al2O3-SiO2,Glasses,specific,0.6468,0.000544,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
Chalcogenide Glass (As2Se3),As2Se3,Glasses,specific,0.581,0.000706,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
Phosphate Glass,P2O5,Glasses,specific,0.7377,0.000556,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
Fluoride Glass (ZBLAN),ZrF4-BaF2-LaF3-AlF3-NaF,Glasses,specific,0.6948,0.000575,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
E-Glass (fiberglass),-,Glasses,specific,0.7338,0.00059,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
S-Glass (fiberglass),-,Glasses,specific,0.6398,0.000539,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
Photochromic Glass,-,Glasses,specific,0.6885,0.000543,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
Vycor Glass,SiO2 96%,Glasses,specific,0.647,0.000695,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
Bioactive Glass 45S5,-,Glasses,specific,0.6644,0.000533,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
Chalcogenide Glass (GeSe2),GeSe2,Glasses,specific,0.7441,0.000602,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
Metallic Glass (Zr-based BMG),Zr-Cu-Al-Ni,Glasses,specific,0.6249,0.000491,0,0,298,1200,J/g/K,Class-typical estimate (NIST/handbook range) - REPLACE with cited value,placeholder
Carbon Fiber Reinforced Polymer (CFRP),-,Composites,specific,0.5792,0.000841,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Glass Fiber Reinforced Polymer (GFRP),-,Composites,specific,0.7216,0.000775,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Aramid Fiber Reinforced Polymer,-,Composites,specific,0.5943,0.000762,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Metal Matrix Composite (Al-SiC),Al-SiC,Composites,specific,0.7481,0.000809,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Ceramic Matrix Composite (SiC-SiC),SiC-SiC,Composites,specific,0.712,0.000915,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Al2O3-ZrO2 Composite,Al2O3-ZrO2,Composites,specific,0.5526,0.000871,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Wood-Plastic Composite,-,Composites,specific,0.6908,0.000812,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Concrete (Portland),-,Composites,specific,0.6062,0.000845,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Carbon-Carbon Composite,C-C,Composites,specific,0.5979,0.000779,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Boron Fiber Composite,-,Composites,specific,0.61,0.000945,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Kevlar-Epoxy Composite,-,Composites,specific,0.7518,0.000724,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Titanium Matrix Composite (Ti-SiC),Ti-SiC,Composites,specific,0.6923,0.000697,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Magnesium Matrix Composite (Mg-SiC),Mg-SiC,Composites,specific,0.7005,0.000919,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Copper Matrix Composite (Cu-Graphite),Cu-C,Composites,specific,0.6121,0.000844,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Hybrid Basalt-Glass FRP,-,Composites,specific,0.7143,0.000689,0,0,250,800,J/g/K,Class-typical estimate (rule-of-mixtures range) - REPLACE with cited value,placeholder
Cadmium,Cd,Metals & Alloys,specific,0.4282,0.000152,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Bismuth,Bi,Metals & Alloys,specific,0.4298,0.000152,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Antimony,Sb,Metals & Alloys,specific,0.3635,0.000139,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Beryllium,Be,Metals & Alloys,specific,0.3544,0.000176,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Vanadium,V,Metals & Alloys,specific,0.4335,0.00017,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Niobium,Nb,Metals & Alloys,specific,0.3959,0.000123,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Tantalum,Ta,Metals & Alloys,specific,0.4313,0.000177,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Zirconium,Zr,Metals & Alloys,specific,0.3683,0.000149,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Hafnium,Hf,Metals & Alloys,specific,0.3619,0.000166,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Rhenium,Re,Metals & Alloys,specific,0.4359,0.000128,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Ruthenium,Ru,Metals & Alloys,specific,0.4022,0.000153,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Rhodium,Rh,Metals & Alloys,specific,0.3775,0.000172,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Palladium,Pd,Metals & Alloys,specific,0.4035,0.000133,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Iridium,Ir,Metals & Alloys,specific,0.4047,0.000164,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Osmium,Os,Metals & Alloys,specific,0.3818,0.000139,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Indium,In,Metals & Alloys,specific,0.4472,0.000159,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Gallium,Ga,Metals & Alloys,specific,0.3994,0.000151,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Germanium (metal form),Ge,Metals & Alloys,specific,0.3761,0.000133,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Thallium,Tl,Metals & Alloys,specific,0.3891,0.000155,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Yttrium,Y,Metals & Alloys,specific,0.386,0.000133,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Steel AISI 1020 (mild steel),Fe-0.2C,Metals & Alloys,specific,0.3643,0.000158,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Steel AISI 304 (stainless),Fe-Cr-Ni,Metals & Alloys,specific,0.3737,0.000174,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Steel AISI 316L (stainless),Fe-Cr-Ni-Mo,Metals & Alloys,specific,0.4453,0.000124,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Inconel 718 (Ni superalloy),Ni-Cr-Fe-Nb,Metals & Alloys,specific,0.3787,0.00016,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Hastelloy C-276,Ni-Mo-Cr,Metals & Alloys,specific,0.3862,0.000128,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Brass (Cu-Zn 70/30),Cu-Zn,Metals & Alloys,specific,0.4432,0.000154,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Bronze (Cu-Sn 90/10),Cu-Sn,Metals & Alloys,specific,0.3978,0.000167,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Duralumin (Al 2024),Al-Cu-Mg,Metals & Alloys,specific,0.4385,0.000131,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Al 6061 Alloy,Al-Mg-Si,Metals & Alloys,specific,0.3703,0.000146,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Al 7075 Alloy,Al-Zn-Mg-Cu,Metals & Alloys,specific,0.399,0.000148,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Ti-6Al-4V Alloy,Ti-Al-V,Metals & Alloys,specific,0.4228,0.00016,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Nitinol (NiTi Shape Memory),NiTi,Metals & Alloys,specific,0.4561,0.000126,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Monel 400,Ni-Cu,Metals & Alloys,specific,0.3994,0.00014,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Waspaloy,Ni-Cr-Co-Mo,Metals & Alloys,specific,0.4423,0.000135,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Cast Iron (Gray),Fe-C-Si,Metals & Alloys,specific,0.3783,0.000147,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Ductile Iron,Fe-C-Si,Metals & Alloys,specific,0.4022,0.000137,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Solder Alloy (Sn-Pb 60/40),Sn-Pb,Metals & Alloys,specific,0.3752,0.000175,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
"Solder Alloy (Sn-Ag-Cu, lead-free)",Sn-Ag-Cu,Metals & Alloys,specific,0.3937,0.000172,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Amalgam (Dental Alloy),Ag-Sn-Hg,Metals & Alloys,specific,0.4179,0.000123,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Babbitt Metal,Sn-Sb-Cu,Metals & Alloys,specific,0.4442,0.00017,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Invar (Fe-Ni 36),Fe-Ni,Metals & Alloys,specific,0.4399,0.000176,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Kovar,Fe-Ni-Co,Metals & Alloys,specific,0.4426,0.00013,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Elinvar,Fe-Ni-Cr,Metals & Alloys,specific,0.4091,0.000133,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Constantan,Cu-Ni,Metals & Alloys,specific,0.4043,0.000124,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Nichrome,Ni-Cr,Metals & Alloys,specific,0.3857,0.000179,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Alnico (magnet alloy),Al-Ni-Co-Fe,Metals & Alloys,specific,0.3791,0.000167,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Zircaloy-4,Zr-Sn-Fe-Cr,Metals & Alloys,specific,0.4026,0.000145,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Mg-AZ31 Alloy,Mg-Al-Zn,Metals & Alloys,specific,0.4376,0.00018,0,0,298,1200,J/g/K,Class-typical estimate (MatWeb/AZoM range) - REPLACE with cited value,placeholder
Boron Carbide,B4C,Ceramics,specific,0.7117,0.000326,0,0,298,1800,J/g/K,Class-typical estimate (NIST-JANAF range) - REPLACE with cited value,placeholder
Boron Nitride (hexagonal),BN,Ceramics,specific,0.6626,0.000276,0,0,298,1800,J/g/K,Class-typical estimate (NIST-JANAF range) - REPLACE with cited value,placeholder
Tungsten Carbide,WC,Ceramics,specific,0.7828,0.00031,0,0,298,1800,J/g/K,Class-typical estimate (NIST-JANAF range) - REPLACE with cited value,placeholder
Titanium Carbide,TiC,Ceramics,specific,0.7085,0.00033,0,0,298,1800,J/g/K,Class-typical estimate (NIST-JANAF range) - REPLACE with cited value,placeholder
Titanium Nitride,TiN,Ceramics,specific,0.6367,0.00031,0,0,298,1800,J/g/K,Class-typical estimate (NIST-JANAF range) - REPLACE with cited value,placeholder
Tantalum Carbide,TaC,Ceramics,specific,0.6984,0.000342,0,0,298,1800,J/g/K,Class-typical estimate (NIST-JANAF range) - REPLACE with cited value,placeholder
Hafnium Carbide,HfC,Ceramics,specific,0.6393,0.000355,0,0,298,1800,J/g/K,Class-typical estimate (NIST-JANAF range) - REPLACE with cited value,placeholder
Zirconium Carbide,ZrC,Ceramics,specific,0.6547,0.000262,0,0,298,1800,J/g/K,Class-typical estimate (NIST-JANAF range) - REPLACE with cited value,placeholder
Molybdenum Disilicide,MoSi2,Ceramics,specific,0.7195,0.000321,0,0,298,1800,J/g/K,Class-typical estimate (NIST-JANAF range) - REPLACE with cited value,placeholder
Yttria (Y2O3),Y2O3,Ceramics,specific,0.6818,0.000254,0,0,298,1800,J/g/K,Class-typical estimate (NIST-JANAF range) - REPLACE with cited value,placeholder
Ceria (CeO2),CeO2,Ceramics,specific,0.7821,0.00027,0,0,298,1800,J/g/K,Class-typical estimate (NIST-JANAF range) - REPLACE with cited value,placeholder
Barium Titanate,BaTiO3,Ceramics,specific,0.7215,0.000314,0,0,298,1800,J/g/K,Class-typical estimate (NIST-JANAF range) - REPLACE with cited value,placeholder
Lead Zirconate Titanate (PZT),"Pb(Zr,Ti)O3",Ceramics,specific,0.6947,0.00031,0,0,298,1800,J/g/K,Class-typical estimate (NIST-JANAF range) - REPLACE with cited value,placeholder
Strontium Titanate,SrTiO3,Ceramics,specific,0.6987,0.000352,0,0,298,1800,J/g/K,Class-typical estimate (NIST-JANAF range) - REPLACE with cited value,placeholder
